,Borough,Neighbourhood,Venue,Venue_id,Category,Location.lat,Location.lng,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
55,East Toronto,"The Beaches West,India Bazaar",The Beaches Coin-Op Carwash,4b942458f964a520dd6a34e3,Car Wash,43.667473,-79.313174,0,Park,Pizza Place,Bakery,Pub,Fish & Chips Shop,Fast Food Restaurant,Massage Studio,Butcher,Steakhouse,Liquor Store
56,Downtown Toronto,Church and Wellesley,Anna Car Wash,5aa94d0f8173cb153e8e92e0,Car Wash,43.671927,-79.385537,0,Coffee Shop,Hotel,Café,Italian Restaurant,Gourmet Shop,Greek Restaurant,Lounge,Music Venue,Furniture / Home Store,Salad Place
57,Downtown Toronto,"Adelaide,King,Richmond",Richmond Hand Car Wash & Detailing,5d5ed8c63c6e63000740edb6,Car Wash,43.649427,-79.392417,0,Coffee Shop,Pizza Place,Restaurant,French Restaurant,Sporting Goods Shop,Yoga Studio,Soup Place,Furniture / Home Store,Beer Bar,Bookstore
58,West Toronto,"Runnymede,Swansea",Petro-Canada Car Wash,5a9cab07065ef5259c21d9d1,Car Wash,43.63616,-79.475334,0,Light Rail Station,Gas Station,Park,Gym / Fitness Center,Deli / Bodega,Farmers Market,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant
59,West Toronto,"High Park,The Junction South",Jet Kleen Car Wash,4dbc450a4b222080d38d1dad,Automotive Shop,43.67207115275437,-79.46749630955917,0,Coffee Shop,Clothing Store,Grocery Store,Chinese Restaurant,Electronics Store,Beer Store,Restaurant,Liquor Store,Sandwich Place,Paper / Office Supplies Store
60,Downtown Toronto,"Chinatown,Grange Park,Kensington Market",U-Haul Neighborhood Dealer,590364670123587260a3cf71,Car Wash,43.652317,-79.402084,0,Café,Mexican Restaurant,Caribbean Restaurant,Bakery,Vegetarian / Vegan Restaurant,Belgian Restaurant,Bar,Cheese Shop,Farmers Market,Gourmet Shop
61,York,"Del Ray,Keelesdale,Mount Dennis,Silverthorn",Davinci Detailing Depot,4f3a809ae4b026b7f744bd0f,Car Wash,43.684188703955236,-79.48328366894417,0,Furniture / Home Store,Park,Grocery Store,Pub,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant
62,East York,"Woodbine Gardens,Parkview Hill",Parkview Hills Car Spa,4ba3c241f964a520335c38e3,Automotive Shop,43.705025414827276,-79.31332474283943,0,Pizza Place,Intersection,Fast Food Restaurant,Café,Gastropub,Bank,Breakfast Spot,Pharmacy,Pet Store,Dance Studio
63,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",OLCO Queensway Carwash,4b5f6524f964a520d8b729e3,Car Wash,43.624258900077564,-79.5109224242214,0,Coffee Shop,BBQ Joint,American Restaurant,Restaurant,Fast Food Restaurant,Bar,Sushi Restaurant,Beer Store,Spa,Food Court
64,Etobicoke,"The Kingsway,Montgomery Road,Old Mill North",Petro-Canada,4e2312721495f18f035e5e05,Gas Station,43.660205,-79.51294,0,Toy / Game Store,Burger Joint,Spa,Pizza Place,Pet Store,Cupcake Shop,Coffee Shop,Shopping Mall,Lighting Store,French Restaurant
65,West Toronto,"Runnymede,Swansea",Petro-Canada,4d1e0a25dd6a236aad1b2338,Gas Station,43.63635388508989,-79.47546326286736,0,Light Rail Station,Gas Station,Park,Gym / Fitness Center,Deli / Bodega,Farmers Market,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant
66,North York,Glencairn,Canadian Tire Gas+,4eafdc899a521bacdb725f1d,Gas Station,43.700508950663526,-79.45161374468023,0,Argentinian Restaurant,Coffee Shop,Sandwich Place,Discount Store,Paintball Field,Fast Food Restaurant,Clothing Store,Bakery,Bike Shop,Photography Lab
67,York,"The Junction North,Runnymede",Martino Bros. Car Wash,535279d6498eef77e3b94f72,Car Wash,43.6656,-79.4838,0,Coffee Shop,Pizza Place,Grocery Store,Liquor Store,Dive Bar,Thai Restaurant,Discount Store,Bakery,Bank,Athletics & Sports
68,North York,Victoria Village,Petro-Canada,4c02cd35f56c2d7fe6fa1b66,Gas Station,43.725905,-79.296675,0,Fast Food Restaurant,Clothing Store,Coffee Shop,Japanese Restaurant,Cosmetics Shop,Gym,Middle Eastern Restaurant,Shopping Mall,Sandwich Place,Supermarket
69,North York,"Downsview,North Park,Upwood Park",Petro-Canada,4cc89a5cd54fa1cdde933229,Gas Station,43.705891,-79.487841,0,Pizza Place,Athletics & Sports,Coffee Shop,Park,Dim Sum Restaurant,Supermarket,Grocery Store,Mediterranean Restaurant,Vietnamese Restaurant,Event Space
70,York,"Del Ray,Keelesdale,Mount Dennis,Silverthorn",Bizzy Boy Auto Detailers,518bca45498e1c05ba913df4,Car Wash,43.69964,-79.472484,0,Furniture / Home Store,Hardware Store,Portuguese Restaurant,Pet Service,Italian Restaurant,Fast Food Restaurant,Falafel Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
71,North York,"Downsview,North Park,Upwood Park",Keele Carwash Coin-Op,4f8d01d46b742e3bfcf42afc,Car Wash,43.7059027564556,-79.47715759277344,0,Portuguese Restaurant,Hobby Shop,Shopping Mall,Breakfast Spot,Supermarket,Big Box Store,Liquor Store,Sandwich Place,Restaurant,Bank
72,Etobicoke,Northwest,Petro-Canada,4d0cee3c257d6dcb5eed9867,Gas Station,43.719201,-79.603167,0,Coffee Shop,Bank,American Restaurant,Café,Theme Park,Casino,Fast Food Restaurant,Gas Station,Video Game Store,Restaurant
73,North York,Downsview Northwest,Petro-Canada,4b928449f964a5200c0034e3,Gas Station,43.78979,-79.545822,0,Burger Joint,Italian Restaurant,Sandwich Place,Bar,Movie Theater,Poutine Place,Pub,Beer Store,Furniture / Home Store,Steakhouse
74,Etobicoke,"Kingsview Village,Martin Grove Gardens,Richview Gardens,St. Phillips",Petro-Canada,4bc20ef62a89ef3b9121f388,Gas Station,43.690516,-79.574127,0,Hotel,Coffee Shop,Wings Joint,Sushi Restaurant,American Restaurant,Restaurant,Thai Restaurant,Mexican Restaurant,Breakfast Spot,Fast Food Restaurant
75,North York,"Northwood Park,York University",Petro-Pass Truck Stop,57f799f2498ecadc383b59c9,Gas Station,43.759525,-79.489949,0,Pizza Place,Big Box Store,Japanese Restaurant,Bar,Discount Store,Fast Food Restaurant,Sushi Restaurant,Furniture / Home Store,Bank,Filipino Restaurant
76,North York,Humber Summit,Petro-Canada,4e3451c8a8092599edf8be1c,Gas Station,43.759759,-79.590726,0,Bank,Residential Building (Apartment / Condo),Gas Station,BBQ Joint,Yoga Studio,Farmers Market,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant
